Nº alertas = 318
 [1:1071:15] "SERVER-WEBAPP .htpasswd access attempt" 
 [1:2009051:4] ET WEB_SPECIFIC_APPS PHPOF DB_AdoDB.Class.PHP PHPOF_INCLUDE_PATH parameter Remote File Inclusion 
 [1:2010354:3] ET WEB_SPECIFIC_APPS Achievo debugger.php config_atkroot parameter Remote File Inclusion Attempt 
 [1:2008833:4] ET WEB_SPECIFIC_APPS Enthusiast path parameter Remote File Inclusion 
 [1:2010355:3] ET WEB_SPECIFIC_APPS OBOphiX fonctions_racine.php chemin_lib parameter Remote File Inclusion Attempt 
 [1:2009892:4] ET WEB_SPECIFIC_APPS PHP-Paid4Mail RFI attempt 
 [1:2009316:4] ET WEB_SPECIFIC_APPS YapBB class_yapbbcooker.php cfgIncludeDirectory Parameter Remote File Inclusion 
 [1:2010197:3] ET WEB_SPECIFIC_APPS KingCMS menu.php CONFIG Parameter Remote File Inclusion 
 [1:2010276:3] ET WEB_SPECIFIC_APPS ProdLer prodler.class.php sPath Parameter Remote File Inclusion Attempt 
 [1:2010466:3] ET WEB_SPECIFIC_APPS PointComma pctemplate.php pcConfig Parameter Remote File Inclusion Attempt 
 [1:2017441:1] ET WEB_SERVER PHP REQUEST SuperGlobal in URI 
 [1:2010362:3] ET WEB_SPECIFIC_APPS AjaxPortal di.php pathtoserverdata Parameter Remote File Inclusion Attempt 
 [1:2010473:4] ET WEB_SPECIFIC_APPS p-Table for WordPress wptable-tinymce.php ABSPATH Parameter RFI Attempt 
 [1:2009932:4] ET WEB_SPECIFIC_APPS Possible eFront database.php Remote File Inclusion Attempt 
 [1:2011274:4] ET WEB_SPECIFIC_APPS OpenX phpAdsNew phpAds_geoPlugin Parameter Remote File Inclusion Attempt 
 [1:2010124:3] ET WEB_SPECIFIC_APPS SERWeb load_lang.php configdir Parameter Remote File Inclusion 
 [1:2010564:3] ET WEB_SPECIFIC_APPS Sisplet CMS komentar.php site_path Parameter Remote File Inclusion Attempt 
 [1:2010125:3] ET WEB_SPECIFIC_APPS SERWeb main_prepend.php functionsdir Parameter Remote File Inclusion 
 [1:2011384:3] ET WEB_SPECIFIC_APPS MAXcms fm_includes_special Parameter Remote File Inclusion Attempt 
 [1:2011259:4] ET WEB_SPECIFIC_APPS MAXcms fm_includes_special Parameter Remote File Inclusion Attempt 
 [1:2017440:1] ET WEB_SERVER PHP SESSION SuperGlobal in URI 
 [1:2010484:3] ET WEB_SPECIFIC_APPS FormMailer formmailer.admin.inc.php BASE_DIR Parameter Remote File Inclusion Attempt 
 [1:2009887:5] ET WEB_SPECIFIC_APPS ProjectButler RFI attempt 
 [1:2009325:4] ET WEB_SPECIFIC_APPS phPortal gunaysoft.php icerikyolu Parameter Remote File Inclusion 
 [1:2009326:4] ET WEB_SPECIFIC_APPS phPortal gunaysoft.php sayfaid Parameter Remote File Inclusion 
 [1:2009229:5] ET WEB_SPECIFIC_APPS TECHNOTE shop_this_skin_path Parameter Remote File Inclusion 
 [1:2009071:4] ET WEB_SPECIFIC_APPS phpSkelSite theme parameter remote file inclusion 
 [1:2019524:5] ET WEB_SPECIFIC_APPS BASE base_stat_common.php remote file include 
 [1:2002901:7] ET WEB_SPECIFIC_APPS PHP Aardvark Topsites PHP CONFIG PATH Remote File Include Attempt 
 [1:2014180:2] ET WEB_SPECIFIC_APPS SAPID get_infochannel.inc.php Remote File inclusion Attempt 
 [1:2010254:3] ET WEB_SPECIFIC_APPS Ve-EDIT edit_htmlarea.php highlighter Parameter Remote File Inclusion 
 [1:2017436:1] ET WEB_SERVER PHP SERVER SuperGlobal in URI 
Nº de alertas totales: 838
Nº alertas = 407
 [1:43238:4] "SERVER-WEBAPP Imatix Xitami web server head processing denial of service attempt" 
 [1:50447:1] "POLICY-OTHER HTTP request by IPv4 address attempt" 
 [1:1071:15] "SERVER-WEBAPP .htpasswd access attempt" 
 [1:1242:24] "SERVER-IIS ISAPI .ida access" 
 [1:1131:14] "SERVER-WEBAPP .wwwacl access" 
 [1:1130:14] "SERVER-WEBAPP .wwwacl access" 
 [1:1044:17] "SERVER-IIS webhits access" 
 [1:1129:16] "SERVER-WEBAPP .htaccess access" 
 [1:987:32] "FILE-IDENTIFY .htr access file download request" 
 [1:41188:1] "SERVER-WEBAPP IBM Lotus Domino NSF database information disclosure attempt" 
 [1:20173:5] "PROTOCOL-SCADA Cogent DataHub server-side information disclosure" 
 [1:1245:24] "SERVER-IIS ISAPI .idq access" 
 [1:977:25] "SERVER-IIS .cnf access" 
 [1:971:28] "SERVER-IIS ISAPI .printer access" 
 [1:41187:1] "SERVER-WEBAPP IBM Lotus Domino BOX mailbox information disclosure attempt" 
 [1:1880:13] "SERVER-WEBAPP oracle web application server access" 
 [1:1852:11] "SERVER-WEBAPP robots.txt access" 
 [1:1145:17] "SERVER-WEBAPP root access" 
 [1:300003:1] "SERVER-WEBAPP Multiple Products invalid HTTP request attempt" 
 [1:18742:7] "SERVER-WEBAPP IBM WebSphere Expect header cross-site scripting" 
 [1:2056:12] "SERVER-WEBAPP TRACE attempt" 
 [1:913:18] "SERVER-OTHER Adobe Coldfusion cfappman access" 
 [1:914:18] "SERVER-OTHER Adobe Coldfusion beaninfo access" 
 [1:912:18] "SERVER-OTHER Adobe Coldfusion parks access" 
 [1:41742:4] "POLICY-OTHER external admin access attempt" 
 [1:985:22] "SERVER-IIS JET VBA access" 
 [1:1400:18] "SERVER-IIS /scripts/samples/ access" 
 [1:962:25] "SERVER-OTHER Microsoft Frontpage shtml.exe access" 
 [1:1288:18] "SERVER-OTHER Microsoft Frontpage /_vti_bin/ access" 
 [1:853:17] "SERVER-WEBAPP wrap access" 
 [1:2152:13] "SERVER-WEBAPP test.php access" 
 [1:1738:13] "SERVER-WEBAPP global.inc access" 
 [1:1875:13] "SERVER-WEBAPP cgicso access" 
 [1:1301:23] "SERVER-WEBAPP admin.php access" 
 [1:2002:18] "SERVER-WEBAPP remote include path attempt" 
 [1:8492:14] "SERVER-OTHER Adobe Coldfusion openfile.cfm access" 
 [1:918:19] "SERVER-OTHER Adobe Coldfusion expeval access" 
 [1:43808:1] "SERVER-IIS Microsoft ASP.NET bad request denial of service attempt" 
 [1:999:19] "SERVER-IIS bdir access" 
 [1:1000:23] "SERVER-IIS bdir.htr access" 
 [1:993:22] "SERVER-IIS iisadmin access" 
 [1:1486:18] "SERVER-IIS ctss.idc access" 
 [1:1172:18] "SERVER-WEBAPP bigconf.cgi access" 
 [1:857:26] "SERVER-WEBAPP faxsurvey access" 
 [1:1284:17] "SERVER-OTHER readme.eml download attempt" 
 [1:3201:14] "SERVER-IIS httpodbc.dll access - nimda" 
 [1:986:20] "SERVER-IIS MSProxy access" 
 [1:1256:20] "SERVER-IIS CodeRed v2 root.exe access" 
 [1:24342:4] "SERVER-WEBAPP JBoss web console access attempt" 
 [1:1016:26] "SERVER-IIS global.asa access" 
 [1:1826:17] "SERVER-WEBAPP WEB-INF access" 
 [1:1482:19] "SERVER-WEBAPP view_source access" 
 [1:1567:26] "SERVER-IIS /exchange/root.asp attempt" 
 [1:1568:23] "SERVER-IIS /exchange/root.asp access" 
 [1:1772:18] "SERVER-IIS pbserver access" 
 [1:2076:11] "SERVER-WEBAPP Mambo uploadimage.php access" 
 [1:1080:23] "SERVER-WEBAPP unify eWave ServletExec upload" 
 [1:39348:2] "SERVER-WEBAPP SAP servlet authentication bypass attempt" 
 [1:1128:16] "SERVER-WEBAPP cpshost.dll access" 
 [1:1076:18] "SERVER-IIS repost.asp access" 
 [1:1492:17] "SERVER-WEBAPP RBS ISP /newuser  directory traversal attempt" 
 [1:1493:16] "SERVER-WEBAPP RBS ISP /newuser access" 
 [1:1560:14] "SERVER-WEBAPP /doc/ access" 
 [1:2565:14] "SERVER-WEBAPP modules.php access" 
 [1:53017:1] "SERVER-WEBAPP NeoFrag CMS database information disclosure attempt" 
 [1:1146:13] "SERVER-WEBAPP Ecommerce import.txt access" 
 [1:1848:13] "SERVER-WEBAPP webcart-lite access" 
 [1:1148:13] "SERVER-WEBAPP Ecommerce import.txt access" 
 [1:1125:16] "SERVER-WEBAPP webcart access" 
 [1:1166:17] "SERVER-WEBAPP ws_ftp.ini access" 
 [1:1286:20] "SERVER-IIS _mem_bin access" 
 [1:1660:19] "SERVER-IIS trace.axd access" 
 [1:1765:16] "SERVER-WEBAPP Nortel Contivity cgiproc access" 
 [1:1528:15] "SERVER-WEBAPP BBoard access" 
 [1:1164:18] "SERVER-WEBAPP shopping cart access" 
 [1:2484:9] "SERVER-WEBAPP source.jsp access" 
 [1:903:19] "SERVER-OTHER Adobe Coldfusion cfcache.map access" 
 [1:1551:14] "SERVER-WEBAPP /CVS/Entries access" 
 [1:2228:16] "SERVER-WEBAPP phpMyAdmin db_details_importdocsql.php access" 
 [1:1402:19] "SERVER-IIS iissamples access" 
 [1:1150:16] "SERVER-WEBAPP Domino catalog.nsf access" 
 [1:1576:14] "SERVER-WEBAPP Domino cersvr.nsf access" 
 [1:1152:15] "SERVER-WEBAPP Domino domlog.nsf access" 
 [1:1580:14] "SERVER-WEBAPP Domino events4.nsf access" 
 [1:1153:15] "SERVER-WEBAPP Domino log.nsf access" 
 [1:1154:15] "SERVER-WEBAPP Domino names.nsf access" 
 [1:2062:11] "SERVER-WEBAPP iPlanet .perf access" 
 [1:1048:16] "SERVER-WEBAPP Netscape Enterprise directory listing attempt" 
 [1:1103:19] "SERVER-WEBAPP Netscape admin passwd" 
 [1:56563:1] "SERVER-WEBAPP Apache Server mod_proxy Error Page cross site scripting attempt" 
 [1:1586:16] "SERVER-WEBAPP Domino mail.box access" 
 [1:1577:14] "SERVER-WEBAPP Domino setup.nsf access" 
 [1:1578:14] "SERVER-WEBAPP Domino statrep.nsf access" 
 [1:1579:16] "SERVER-WEBAPP Domino webadmin.nsf access" 
 [1:931:19] "SERVER-OTHER Adobe Coldfusion cfmlsyntaxcheck.cfm access" 
 [1:2246:14] "SERVER-WEBAPP webadmin.dll access" 
 [1:1587:22] "SERVER-WEBAPP cgitest.exe access" 
 [1:1122:16] "SERVER-WEBAPP /etc/passwd file access attempt" 
 [1:1002:19] "SERVER-IIS cmd.exe access" 
 [1:992:17] "SERVER-IIS adctest.asp access" 
 [1:1401:20] "SERVER-IIS /msadc/samples/ access" 
 [1:875:22] "SERVER-WEBAPP win-c-sample.exe access" 
 [1:1829:15] "SERVER-APACHE Apache Tomcat TroubleShooter servlet access" 
 [1:31940:2] "SERVER-WEBAPP password sent via URL parameter" 
 [1:911:20] "SERVER-OTHER Adobe Coldfusion exprcalc access" 
 [1:1244:29] "SERVER-IIS ISAPI .idq attempt" 
 [1:966:25] "SERVER-OTHER Microsoft Frontpage .... request" 
 [1:42323:2] "SERVER-WEBAPP IOServer OPC Server directory traversal exploitation attempt" 
 [1:906:22] "SERVER-OTHER Adobe Coldfusion getfile.cfm access" 
 [1:928:18] "SERVER-OTHER Adobe Coldfusion exampleapp access" 
 [1:8493:14] "SERVER-OTHER Adobe Coldfusion sourcewindow.cfm access" 
 [1:1773:15] "SERVER-WEBAPP php.exe access" 
 [1:3674:13] "SERVER-WEBAPP db4web_c directory traversal attempt" 
 [1:1517:17] "SERVER-WEBAPP envout.bat access" 
 [1:45380:3] "SERVER-OTHER Sixnet SixView Manager directory traversal attempt" 
 [1:1147:21] "SERVER-WEBAPP cat_ access" 
 [1:2154:8] "SERVER-WEBAPP autohtml.php access" 
 [1:1491:18] "SERVER-WEBAPP Phorum /support/common.php access" 
 [1:1611:15] "SERVER-WEBAPP eXtropia webstore access" 
 [1:2000:12] "SERVER-WEBAPP readmsg.php access" 
 [1:1157:17] "SERVER-WEBAPP Netscape PublishingXpert access" 
 [1:1828:16] "SERVER-WEBAPP iPlanet Search directory traversal attempt" 
 [1:42465:2] "SERVER-WEBAPP triple dot directory traversal attempt" 
 [1:1376:13] "SERVER-WEBAPP jrun directory browse attempt" 
 [1:13990:27] "SQL union select - possible sql injection attempt - GET parameter" 
 [1:16431:6] "SQL generic sql with comments injection attempt - GET parameter" 
 [1:31860:4] "SERVER-OTHER Apple CUPS web interface cross site scripting attempt" 
 [1:7070:24] "POLICY-OTHER script tag in URI - likely cross-site scripting attempt" 
 [1:2077:11] "SERVER-WEBAPP Mambo upload.php access" 
 [1:20258:12] "OS-WINDOWS Microsoft generic javascript handler in URI XSS attempt" 
 [1:1827:16] "SERVER-APACHE Apache Tomcat servlet mapping cross site scripting attempt" 
 [1:1231:16] "SERVER-WEBAPP VirusWall catinfo access" 
 [1:20674:4] "SERVER-WEBAPP Sourceforge Gallery search engine cross-site scripting attempt" 
 [1:1767:13] "SERVER-WEBAPP search.dll access" 
 [1:42289:3] "INDICATOR-SCAN PHP info leak attempt" 
 [1:1774:15] "SERVER-WEBAPP bb_smilies.php access" 
 [1:1834:16] "SERVER-WEBAPP PHP-Wiki cross site scripting attempt" 
 [1:7071:8] "SERVER-WEBAPP encoded cross site scripting HTML Image tag set to javascript attempt" 
 [1:1667:15] "SERVER-WEBAPP cross site scripting HTML Image tag set to javascript attempt" 
 [1:61117:2] "SERVER-WEBAPP Fscan scanner SQL injection attempt" 
 [1:36037:2] "SERVER-WEBAPP Novell Zenworks Mobile Management cross site scripting attempt" 
 [1:2347:14] "SERVER-WEBAPP myPHPNuke partner.php access" 
 [1:2346:14] "SERVER-WEBAPP myPHPNuke chatheader.php access" 
 [1:1835:14] "SERVER-WEBAPP Macromedia SiteSpring cross site scripting attempt" 
 [1:1998:14] "SERVER-WEBAPP calendar.php access" 
 [1:882:17] "SERVER-WEBAPP calendar access" 
 [1:49920:1] "SERVER-WEBAPP generic cross site scripting via url attempt" 
 [1:922:19] "SERVER-OTHER Adobe Coldfusion displayfile access" 
 [1:1659:17] "SERVER-OTHER Adobe Coldfusion sendmail.cfm access" 
 [1:1877:15] "SERVER-WEBAPP printenv access" 
 [1:1212:13] "SERVER-WEBAPP Admin_files access" 
 [1:910:18] "SERVER-OTHER Adobe Coldfusion fileexists.cfm access" 
 [1:930:18] "SERVER-OTHER Adobe Coldfusion snippets attempt" 
 [1:1722:18] "SERVER-WEBAPP MachineInfo access" 
 [1:1108:19] "SERVER-APACHE Apache Tomcat server snoop access" 
 [1:8490:14] "SERVER-OTHER Adobe Coldfusion viewexample.cfm access" 
 [1:915:19] "SERVER-OTHER Adobe Coldfusion evaluate.cfm access" 
 [1:935:19] "SERVER-OTHER Adobe Coldfusion startstop DOS access" 
 [1:25975:3] "POLICY-OTHER Adobe ColdFusion admin interface access attempt" 
 [1:1141:19] "SERVER-WEBAPP handler access" 
 [1:59237:1] "SERVER-WEBAPP Multiple products cgi-bin command injection attempt" 
 [1:1163:19] "SERVER-WEBAPP webdist.cgi access" 
 [1:2060:8] "SERVER-WEBAPP DB4Web access" 
 [1:1173:18] "SERVER-WEBAPP architext_query.pl access" 
 [1:1544:15] "SERVER-WEBAPP Cisco Catalyst command execution attempt" 
 [1:936:18] "SERVER-OTHER Adobe Coldfusion gettempdirectory.cfm access " 
 [1:1230:16] "SERVER-WEBAPP VirusWall FtpSave access" 
 [1:1742:17] "SERVER-WEBAPP Blahz-DNS dostuff.php modify user attempt" 
 [1:1743:17] "SERVER-WEBAPP Blahz-DNS dostuff.php access" 
 [1:38371:2] "SERVER-WEBAPP Bharat Mediratta Gallery PHP file inclusion attempt" 
 [1:1540:20] "SERVER-OTHER Adobe Coldfusion ?Mode=debug attempt" 
 [1:1250:22] "OS-OTHER Cisco IOS HTTP configuration attempt" 
 [1:2138:10] "SERVER-WEBAPP logicworks.ini access" 
 [1:1168:16] "SERVER-WEBAPP mall log order access" 
 [1:1407:15] "SERVER-WEBAPP smssend.php access" 
 [1:1385:18] "SERVER-WEBAPP mod-plsql administration access" 
 [1:1564:14] "SERVER-WEBAPP login.htm access" 
 [1:805:22] "SERVER-WEBAPP Progress webspeed access" 
 [1:1726:12] "SERVER-IIS doctodep.btr access" 
 [1:940:29] "SERVER-OTHER Microsoft Frontpage shtml.dll access" 
 [1:937:22] "SERVER-OTHER Microsoft Frontpage _vti_rpc access" 
 [1:952:18] "SERVER-OTHER Microsoft Frontpage author.exe access" 
 [1:967:26] "SERVER-OTHER Microsoft Frontpage dvwssr.dll access" 
 [1:1248:31] "SERVER-OTHER Microsoft Frontpage rad fp30reg.dll access" 
 [1:955:23] "SERVER-OTHER Microsoft Frontpage access.cnf access" 
 [1:958:22] "SERVER-OTHER Microsoft Frontpage service.cnf access" 
 [1:961:22] "SERVER-OTHER Microsoft Frontpage services.cnf access" 
 [1:965:22] "SERVER-OTHER Microsoft Frontpage writeto.cnf access" 
 [1:1847:18] "SERVER-WEBAPP webalizer access" 
 [1:1175:18] "SERVER-WEBAPP wwwboard.pl access" 
 [1:1111:18] "SERVER-APACHE Apache Tomcat server exploit access" 
 [1:43356:2] "SERVER-WEBAPP Oracle Application Server 9i unauthenticated dms access attempt" 
 [1:1592:18] "SERVER-WEBAPP /fcgi-bin/echo.exe access" 
 [1:43290:2] "SERVER-WEBAPP /ws_ftp.log file access attempt" 
 [1:1481:16] "SERVER-WEBAPP upload.cgi access" 
 [1:1521:14] "SERVER-WEBAPP server-status access" 
 [1:1201:13] "INDICATOR-COMPROMISE 403 Forbidden" 
 [1:1123:17] "SERVER-WEBAPP ?PageServices access" 
 [1:1183:19] "SERVER-WEBAPP Netscape Enterprise Server directory view" 
 [1:1160:22] "SERVER-WEBAPP Netscape dir index wp" 
 [1:1500:23] "SERVER-WEBAPP ExAir access" 
 [1:1013:21] "SERVER-IIS fpcount access" 
 [1:807:24] "SERVER-WEBAPP /wwwboard/passwd.txt access" 
 [1:1193:17] "SERVER-WEBAPP oracle web arbitrary command execution attempt" 
 [1:979:22] "SERVER-IIS ASP contents view" 
 [1:21161:7] "SERVER-IIS Microsoft Windows IIS5 NTLM and basic authentication bypass attempt" 
 [1:1023:25] "SERVER-IIS msadcs.dll access" 
 [1:1024:20] "SERVER-IIS newdsn.exe access" 
 [1:1487:22] "SERVER-IIS /iisadmpwd/aexp2.htr access" 
 [1:1018:23] "SERVER-IIS iisadmpwd attempt" 
 [1:2325:14] "SERVER-IIS VP-ASP ShopDisplayProducts.asp access" 
 [1:1162:15] "SERVER-WEBAPP cart 32 AdminPwd access" 
 [1:1134:21] "SERVER-WEBAPP Phorum admin access" 
 [1:1213:13] "SERVER-WEBAPP backup access" 
 [1:904:22] "SERVER-OTHER Adobe Coldfusion exampleapp application.cfm" 
 [1:932:21] "SERVER-OTHER Adobe Coldfusion application.cfm access" 
 [1:907:17] "SERVER-OTHER Adobe Coldfusion addcontent.cfm access" 
 [1:905:22] "SERVER-OTHER Adobe Coldfusion application.cfm access" 
 [1:1214:14] "SERVER-WEBAPP intranet access" 
 [1:1215:18] "SERVER-WEBAPP ministats admin access" 
 [1:1192:14] "SERVER-WEBAPP Trend Micro OfficeScan access" 
 [1:1155:15] "SERVER-WEBAPP Ecommerce checks.txt access" 
 [1:1556:19] "SERVER-WEBAPP DCShop orders.txt access" 
 [1:1161:17] "SERVER-WEBAPP piranha passwd.php3 access" 
 [1:1202:14] "SERVER-WEBAPP search.vts access" 
 [1:1030:15] "SERVER-IIS search97.vts access" 
 [1:1040:24] "SERVER-IIS srchadm access" 
 [1:60573:1] "POLICY-OTHER Nortek Linear eMerge E3-Series information disclosure attempt" 
 [1:887:18] "SERVER-WEBAPP www-sql access" 
 [1:878:18] "SERVER-WEBAPP w3tvars.pm access" 
 [1:1038:20] "SERVER-IIS site server config access" 
 [1:1022:22] "SERVER-IIS jet vba access" 
 [1:1077:19] "SQL queryhit.htm access" 
 [1:1078:19] "SQL counter.exe access" 
 [1:946:18] "SERVER-OTHER Microsoft Frontpage fpadmcgi.exe access" 
 [1:1075:21] "SERVER-IIS postinfo.asp access" 
 [1:984:25] "SERVER-IIS JET VBA access" 
 [1:1073:15] "SERVER-WEBAPP webhits.exe access" 
 [1:851:19] "SERVER-WEBAPP files.pl access" 
 [1:1127:15] "SERVER-WEBAPP convert.bas access" 
 [1:50921:1] "SERVER-WEBAPP Oracle 9i Application Server OWA_UTIL information disclosure attempt" 
 [1:844:21] "SERVER-WEBAPP args.bat access" 
 [1:1585:14] "SERVER-WEBAPP Domino agentrunner.nsf access" 
 [1:1584:14] "SERVER-WEBAPP Domino bookmark.nsf access" 
 [1:1582:14] "SERVER-WEBAPP Domino collect4.nsf access" 
 [1:1151:15] "SERVER-WEBAPP Domino domcfg.nsf access" 
 [1:1575:16] "SERVER-WEBAPP Domino mab.nsf access" 
 [1:1583:14] "SERVER-WEBAPP Domino mailw46.nsf access" 
 [1:1581:14] "SERVER-WEBAPP Domino ntsync4.nsf access" 
 [1:41189:1] "SERVER-WEBAPP IBM Lotus Domino srvnam.htm information disclosure attempt" 
 [1:2148:11] "SERVER-WEBAPP BLNews objects.inc.php4 access" 
 [1:2151:12] "SERVER-WEBAPP ttCMS header.php access" 
 [1:2144:13] "SERVER-WEBAPP b2 cafelog gm-2-b2.php access" 
 [1:1458:18] "SERVER-WEBAPP user_update_passwd.pl access" 
 [1:2137:9] "SERVER-WEBAPP philboard_admin.asp access" 
 [1:2397:16] "SERVER-WEBAPP CCBill whereami.cgi access" 
 [1:1525:16] "SERVER-WEBAPP Axis Storpoint CD access" 
 [1:2215:18] "SERVER-WEBAPP Alabanza Control Panel nsManager.cgi access" 
 [1:2223:18] "SERVER-WEBAPP CGIScript.net csNews.cgi access" 
 [1:1787:15] "SERVER-WEBAPP csPassword.cgi access" 
 [1:1724:18] "SERVER-WEBAPP emumail.cgi access" 
 [1:43289:3] "SERVER-WEBAPP /etc/shadow file access attempt" 
 [1:2204:18] "SERVER-WEBAPP EasyBoard 2000 ezadmin.cgi access" 
 [1:2205:18] "SERVER-WEBAPP EasyBoard 2000 ezboard.cgi access" 
 [1:2206:18] "SERVER-WEBAPP EasyBoard 2000 ezman.cgi access" 
 [1:1637:21] "SERVER-WEBAPP yabb access" 
 [1:1142:11] "SERVER-WEBAPP /.... access" 
 [1:2073:10] "SERVER-WEBAPP globals.pl access" 
 [1:2225:15] "SERVER-WEBAPP Linksys BEFSR41 gozila.cgi access" 
 [1:31377:5] "SERVER-WEBAPP PHP includedir parameter remote file include attempt" 
 [1:2130:17] "SERVER-IIS IISProtect siteadmin.asp access" 
 [1:2131:14] "SERVER-IIS IISProtect access" 
 [1:1997:13] "SERVER-WEBAPP read_body.php access attempt" 
 [1:2214:18] "SERVER-WEBAPP 3R Soft MailStudio 2000 mailview.cgi access" 
 [1:1037:24] "SERVER-IIS showcode.asp access" 
 [1:2085:17] "SERVER-WEBAPP parse_xml.cgi access" 
 [1:2219:18] "SERVER-WEBAPP Trend Micro Interscan VirusWall setpasswd.cgi access" 
 [1:2133:19] "SERVER-IIS MS BizTalk server access" 
 [1:1434:15] "SERVER-WEBAPP .bash_history access" 
 [1:1433:12] "SERVER-WEBAPP .history access" 
 [1:1872:11] "SERVER-WEBAPP Oracle Dynamic Monitoring Services dms access" 
 [1:1874:9] "SERVER-WEBAPP Oracle Java Process Manager access" 
 [1:839:20] "SERVER-WEBAPP finger access" 
 [1:941:17] "SERVER-OTHER Microsoft Frontpage contents.htm access" 
 [1:945:18] "SERVER-OTHER Microsoft Frontpage fpadmin.htm access" 
 [1:879:20] "SERVER-WEBAPP admin.pl access" 
 [1:950:19] "SERVER-OTHER Microsoft Frontpage cfgwiz.exe access" 
 [1:1542:20] "SERVER-WEBAPP cgimail access" 
 [1:944:18] "SERVER-OTHER Microsoft Frontpage fpremadm.exe access" 
 [1:943:18] "SERVER-OTHER Microsoft Frontpage fpsrvadm.exe access" 
 [1:980:20] "SERVER-IIS CGImail.exe access" 
 [1:942:18] "SERVER-OTHER Microsoft Frontpage orders.htm access" 
 [1:947:18] "SERVER-OTHER Microsoft Frontpage orders.txt access" 
 [1:968:18] "SERVER-OTHER Microsoft Frontpage register.htm access" 
 [1:956:18] "SERVER-OTHER Microsoft Frontpage register.txt access" 
 [1:949:18] "SERVER-OTHER Microsoft Frontpage registrations.htm access" 
 [1:957:18] "SERVER-OTHER Microsoft Frontpage registrations.txt access" 
 [1:990:21] "SERVER-OTHER Microsoft Frontpage _vti_inf.html access" 
 [1:953:19] "SERVER-OTHER Microsoft Frontpage administrators.pwd access" 
 [1:951:22] "SERVER-OTHER Microsoft Frontpage authors.pwd access" 
 [1:959:18] "SERVER-OTHER Microsoft Frontpage service.pwd" 
 [1:964:18] "SERVER-OTHER Microsoft Frontpage users.pwd access" 
 [1:2447:12] "SERVER-WEBAPP ServletManager access" 
 [1:1005:23] "SERVER-IIS codebrowser SDK access" 
 [1:1559:16] "SERVER-WEBAPP /doc/packages access" 
 [1:55647:1] "INDICATOR-SCAN PHP backdoor scan attempt" 
 [1:1119:15] "SERVER-WEBAPP mlog.phtml access" 
 [1:1120:16] "SERVER-WEBAPP mylog.phtml access" 
 [1:908:21] "SERVER-OTHER Adobe Coldfusion administrator access" 
 [1:1816:11] "SERVER-WEBAPP directory.php access" 
 [1:1614:16] "SERVER-WEBAPP Novell Groupwise gwweb.exe attempt" 
 [1:2395:11] "SERVER-WEBAPP InteractiveQuery.jsp access" 
 [1:1871:12] "SERVER-WEBAPP Oracle XSQLConfig.xml access" 
 [1:2326:15] "SERVER-IIS sgdynamo.exe access" 
 [1:2196:18] "SERVER-WEBAPP catgy.cgi access" 
 [1:954:20] "SERVER-OTHER Microsoft Frontpage form_results.htm access" 
 [1:948:20] "SERVER-OTHER Microsoft Frontpage form_results access" 
 [1:1851:14] "SERVER-WEBAPP active.log access" 
 [1:1110:17] "SERVER-WEBAPP apache source.asp file access" 
 [1:1489:16] "SERVER-WEBAPP nobody access" 
 [1:818:17] "SERVER-WEBAPP dcforum.cgi access" 
 [1:1032:20] "SERVER-IIS showcode access" 
 [1:1043:21] "SERVER-IIS viewcode.asp access" 
 [1:1033:20] "SERVER-IIS viewcode access" 
 [1:1034:20] "SERVER-IIS viewcode access" 
 [1:1035:20] "SERVER-IIS viewcode access" 
 [1:1036:20] "SERVER-IIS viewcode access" 
 [1:1031:19] "SERVER-IIS /SiteServer/Publishing/viewcode.asp access" 
 [1:2142:12] "SERVER-WEBAPP shoutbox.php access" 
 [1:1527:15] "SERVER-WEBAPP basilix mysql.class access" 
 [1:1526:16] "SERVER-WEBAPP basilix sendmail.inc access" 
 [1:902:21] "SERVER-WEBAPP tstisapi.dll access" 
 [1:2198:18] "SERVER-WEBAPP cvslog.cgi access" 
 [1:1520:14] "SERVER-WEBAPP server-info access" 
 [1:1209:15] "SERVER-WEBAPP .nsconfig access" 
 [1:1557:19] "SERVER-WEBAPP DCShop auth_user_file.txt access" 
 [1:1555:19] "SERVER-WEBAPP DCShop access" 
 [1:1770:10] "SERVER-WEBAPP .FBCIndex access" 
 [1:1769:10] "SERVER-WEBAPP .DS_Store access" 
 [1:33613:2] "SERVER-WEBAPP stronghold-info access" 
 [1:33612:2] "SERVER-WEBAPP stronghold-status access" 
 [1:1873:12] "SERVER-WEBAPP globals.jsa access" 
 [1:1522:19] "SERVER-WEBAPP ans.pl attempt" 
 [1:1523:17] "SERVER-WEBAPP ans.pl access" 
 [1:1004:19] "SERVER-IIS codebrowser Exair access" 
 [1:895:19] "SERVER-WEBAPP redirect access" 
 [1:21515:5] "SERVER-APACHE Apache Tomcat Web Application Manager access" 
 [1:2393:14] "SERVER-WEBAPP /_admin access" 
 [1:50923:1] "SERVER-WEBAPP Oracle 9i Application Server OWA_UTIL information disclosure attempt" 
 [1:50924:1] "SERVER-WEBAPP Oracle 9i Application Server OWA_UTIL information disclosure attempt" 
 [1:50925:1] "SERVER-WEBAPP Oracle 9i Application Server OWA_UTIL information disclosure attempt" 
 [1:50922:1] "SERVER-WEBAPP Oracle 9i Application Server OWA_UTIL information disclosure attempt" 
